Champions,Primary,HP,HP+,HP5,HP5+,MP,MP+,MP5,MP5+,AD,AD+,AS,AS+,AR,AR+,MR,MR+,MS,Range,Rol_Artillery,Rol_Assassin,Rol_Battlemage,Rol_Burst,Rol_Catcher,Rol_Diver,Rol_Enchanter,Rol_Juggernaut,Rol_Marksman,Rol_Skirmisher,Rol_Specialist,Rol_Vanguard,Rol_Warden
Twitch,Marksman,612.0,86.0,3.75,0.6,287.2,40.0,7.256,0.45,59.0,3.11,0.679,3.38,27.0,3.0,30.0,0.5,330.0,550.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Udyr,Juggernaut,594.0,99.0,6.0,0.75,271.0,30.0,7.5,0.45,66.0,5.0,0.658,2.67,34.0,4.0,32.1,1.25,350.0,125.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Urgot,Juggernaut,585.0,88.0,7.5,0.7,340.0,45.0,7.25,0.8,63.0,4.0,0.625,3.75,36.0,4.25,32.1,1.25,330.0,350.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Varus,Marksman,530.0,91.0,3.5,0.55,360.0,33.0,8.0,0.8,61.0,3.0,0.658,4.0,27.0,3.4,30.0,0.5,330.0,575.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vayne,Marksman,515.0,89.0,3.5,0.55,231.8,35.0,6.972,0.4,60.0,2.36,0.658,3.3,23.0,3.4,30.0,0.5,330.0,550.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Veigar,Burst,505.0,94.0,6.5,0.6,490.0,26.0,8.0,0.8,52.0,2.7,0.625,2.24,23.0,3.75,32.0,0.5,340.0,550.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vel'Koz,Artillery,520.0,88.0,5.5,0.55,469.0,21.0,8.0,0.8,54.9379,3.1416,0.625,1.36,21.88,3.5,30.0,0.5,340.0,525.0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vi,Diver,585.0,85.0,10.0,1.0,295.0,45.0,8.0,0.65,63.0,3.5,0.644,2.0,30.0,4.0,32.1,1.25,340.0,125.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Viktor,Battlemage,530.0,90.0,8.0,0.65,405.0,25.0,8.0,0.8,53.0,3.0,0.658,2.11,23.0,4.0,30.0,0.5,335.0,525.0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vladimir,Battlemage,537.0,96.0,7.0,0.6,2.0,0.0,0.0,0.0,55.0,3.0,0.658,2.0,23.0,3.3,30.0,0.5,330.0,450.0,0,0,1,0,0,0,0,0,0,0,0,0,0
Volibear,Juggernaut,580.0,90.0,9.0,0.75,350.0,50.0,6.25,0.5,60.0,3.0,0.625,2.0,31.0,4.0,32.0,1.25,340.0,150.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Warwick,Diver,550.0,85.0,4.0,0.75,280.0,35.0,7.466,0.575,65.0,3.0,0.638,2.3,33.0,3.2,32.1,1.25,335.0,125.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wukong,Diver,540.0,85.0,4.0,0.65,300.0,45.0,8.0,0.65,68.0,4.0,0.711,3.0,31.0,3.5,28.0,1.25,345.0,175.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Xayah,Marksman,590.0,88.0,3.25,0.75,340.0,40.0,8.25,0.75,60.0,3.5,0.625,3.3,25.0,3.0,30.0,0.5,325.0,525.0,0,0,0,0,0,0,0,0,1,0,0,0,0
Xerath,Artillery,526.0,92.0,5.5,0.55,459.0,22.0,8.0,0.8,54.7,3.0,0.625,1.36,21.88,3.5,30.0,0.5,340.0,525.0,1,0,0,0,0,0,0,0,0,0,0,0,0
Xin Zhao,Diver,570.0,92.0,8.0,0.7,273.8,35.0,7.256,0.45,66.0,3.0,0.645,3.5,35.0,3.5,32.1,1.25,345.0,175.0,0,0,0,0,0,1,0,0,0,0,0,0,0
Yasuo,Skirmisher,490.0,87.0,6.5,0.9,100.0,0.0,0.0,0.0,60.0,3.2,0.697,2.5,30.0,3.4,32.0,1.25,345.0,175.0,0,0,0,0,0,0,0,0,0,1,0,0,0
Yone,Assassin,550.0,85.0,7.5,0.75,500.0,0.0,0.0,0.0,60.0,3.0,0.625,2.5,28.0,3.4,32.0,1.25,345.0,175.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yorick,Juggernaut,580.0,100.0,8.0,0.8,300.0,40.0,7.5,0.75,62.0,5.0,0.625,2.0,39.0,4.0,32.0,1.25,340.0,175.0,0,0,0,0,0,0,0,1,0,0,0,0,0
Yuumi,Enchanter,480.0,70.0,7.0,0.55,400.0,45.0,10.0,0.4,55.0,3.1,0.625,1.0,25.0,3.0,25.0,0.3,330.0,500.0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zac,Vanguard,615.0,95.0,8.0,0.5,0.0,0.0,0.0,0.0,60.0,3.4,0.736,1.6,33.0,3.5,32.0,1.25,340.0,175.0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zed,Assassin,584.0,85.0,7.0,0.65,200.0,0.0,50.0,0.0,63.0,3.4,0.651,3.3,32.0,3.5,32.1,1.25,345.0,125.0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ziggs,Artillery,536.0,92.0,6.5,0.6,480.0,23.5,8.0,0.8,54.208,3.1,0.656,2.0,21.544,3.3,30.0,0.5,325.0,550.0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zilean,Specialist,504.0,82.0,5.5,0.5,452.0,30.0,11.335,0.8,51.64,3.0,0.625,2.13,24.0,3.8,30.0,0.5,335.0,550.0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zoe,Burst,560.0,92.0,6.5,0.6,425.0,25.0,8.0,0.65,58.0,3.3,0.625,2.5,20.8,3.5,30.0,0.5,340.0,550.0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zyra,Catcher,504.0,79.0,5.5,0.5,418.0,25.0,13.0,0.4,53.376,3.2,0.625,2.11,29.0,3.0,30.0,0.5,340.0,575.0,0,0,0,0,1,0,0,0,0,0,0,0,0
